Carrier|Service|Container Type|Weight Not Over Oz|Cost Zone 1|Cost Zone 2|Cost Zone 3|Cost Zone 4|Cost Zone 5|Cost Zone 6|Cost Zone 7|Cost Zone 8|Cost Zone 9|Cost Zone Ddu|Cost Zone Scf|Cost Zone Ndc|Cost Zone Ddu Out 48|Cost Zone Scf Out 48|Cost Zone Ndc Out 48|Charge Zone 1|Charge Zone 2|Charge Zone 3|Charge Zone 4|Charge Zone 5|Charge Zone 6|Charge Zone 7|Charge Zone 8|Charge Zone 9|Charge Zone Ddu|Charge Zone Scf|Charge Zone Ndc|Charge Zone Ddu Out 48|Charge Zone Scf Out 48|Charge Zone Ndc Out 48
USPS|PRIORITY_MAIL|PACKAGE|704|22.53|22.53|28.5|35.92|48.31|61.35|71.05|84.16|223.19|0|0|0|0|0|0|22.77|22.77|22.77|28.74|36.16|48.55|61.59|71.29|84.4|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|688|22.37|22.37|28.29|35.61|47.54|60.38|70.23|83.24|220.64|0|0|0|0|0|0|22.61|22.61|22.61|28.53|35.85|47.78|60.62|70.47|83.48|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|672|22.12|22.12|28.07|35.3|46.77|58.97|69.37|82.17|217.86|0|0|0|0|0|0|22.36|22.36|22.36|28.31|35.54|47.01|59.21|69.61|82.41|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|400|15.57|15.57|18.88|23.28|31.48|41.84|49.43|57.78|150.68|0|0|0|0|0|0|15.81|15.81|15.81|19.12|23.52|31.72|42.08|49.67|58.02|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|384|14.99|14.99|18.22|21.91|30.47|41.25|48.23|56.77|148.13|0|0|0|0|0|0|15.23|15.23|15.23|18.46|22.15|30.71|41.49|48.47|57.01|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|368|14.4|14.4|17.5|20.73|29.32|40.39|47.01|55.44|144.6|0|0|0|0|0|0|14.64|14.64|14.64|17.74|20.97|29.56|40.63|47.25|55.68|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|352|13.99|13.99|17.08|20.25|28.79|40.17|46.68|55.11|143.75|0|0|0|0|0|0|14.23|14.23|14.23|17.32|20.49|29.03|40.41|46.92|55.35|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|336|13.56|13.56|16.64|19.59|28.23|39.9|46.32|54.48|142.09|0|0|0|0|0|0|13.8|13.8|13.8|16.88|19.83|28.47|40.14|46.56|54.72|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|320|12.99|12.99|16.24|19.15|27.74|39.58|45.9|53.79|139.13|0|0|0|0|0|0|13.23|13.23|13.23|16.48|19.39|27.98|39.82|46.14|54.03|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|304|12.51|12.51|16|18.76|27.24|38.58|44.24|51.41|133|0|0|0|0|0|0|12.75|12.75|12.75|16.24|19|27.48|38.82|44.48|51.65|0|0|0|0|0|0
